name,sweet,fruity,citrus,berry,tropical,stone_fruit,tart,sour,bitter,salty,nutty,creamy,chocolatey,floral,herbal,minty,spicy,caramel,candy_like,dessert_like,freshness,richness,red,blue,green,yellow_orange,purple,white_brown
passion_fruit,0.8,1.0,0.3,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.9,0.0,0.0,0.0,0.0,1.0,0.2,0.0
peach,0.8,0.9,0.0,0.0,0.0,1.0,0.3,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0
peppermint,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.3,0.0,0.2,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2
pineapple,0.8,0.9,0.3,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pomegranate,0.6,0.9,0.0,0.4,0.0,0.0,0.2,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.8,0.0,0.8,0.0,0.0,0.0,0.5,0.0
raspberry,0.7,0.9,0.0,0.9,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.9,0.0,0.8,0.0,0.0,0.0,0.2,0.0
red_raspberry,0.7,0.9,0.0,0.9,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.9,0.0,1.0,0.0,0.0,0.0,0.2,0.0
salted_caramel,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.1,0.7,0.0,0.1,0.0,0.0,0.0,1.0,1.0,0.8,0.2,0.6,0.0,0.0,0.0,0.0,0.0,1.0
strawberry,0.85,0.95,0.0,0.95,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.9,0.0,1.0,0.0,0.0,0.0,0.1,0.0
vanilla,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.7,0.2,0.3,0.0,0.0,0.0,0.0,0.0,1.0
watermelon,0.7,0.9,0.0,0.0,0.6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,1.0,0.0,0.9,0.0,0.6,0.0,0.0,0.0
white_chocolate,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9,0.3,0.0,0.0,0.0,0.0,0.6,0.9,0.1,0.6,0.0,0.0,0.0,0.0,0.0,1.0
caramel,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,1.0,1.0,0.8,0.1,0.5,0.0,0.0,0.0,0.0,0.0,1.0
cupcake,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0.6,1.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,1.0
creme_de_menthe,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.9,0.2,0.0,0.4,0.6,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5
chocolate_macadamia_nut,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.9,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.1,0.7,0.0,0.0,0.0,0.0,0.0,1.0
almond_orgeat,0.7,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.9,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.6,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.0
cinnamon,0.45,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.05,0.2,0.0,0.05,0.35,0.0,1.0,0.7,0.25,0.55,0.2,0.45,0.4,0.0,0.1,0.6,0.15,0.9
